Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=5.5 galactic dust with C/H = b_C = 30.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University

Thu Oct  3 23:05:09 EDT 2002
 
References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron)
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 1.798E-26 = M_dust per H nucleon (gram/H) for this dust model
 1.300E+02 = M_gas/M_dust for this dust model

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-03 0.6780  1.0000 1.190E-22 2.131E+03
1.006E-03 0.6772  1.0000 1.203E-22 2.159E+03
1.012E-03 0.6765  1.0000 1.216E-22 2.188E+03
1.017E-03 0.6757  1.0000 1.229E-22 2.216E+03
1.023E-03 0.6745  1.0000 1.240E-22 2.245E+03
1.029E-03 0.6736  1.0000 1.253E-22 2.274E+03
1.035E-03 0.6726  1.0000 1.265E-22 2.303E+03
1.041E-03 0.6713  1.0000 1.276E-22 2.331E+03
1.047E-03 0.6703  1.0000 1.287E-22 2.360E+03
1.053E-03 0.6693  1.0000 1.299E-22 2.389E+03
1.059E-03 0.6678  1.0000 1.310E-22 2.419E+03
1.065E-03 0.6667  1.0000 1.321E-22 2.449E+03
1.072E-03 0.6656  1.0000 1.333E-22 2.479E+03
1.078E-03 0.6644  1.0000 1.345E-22 2.510E+03
1.084E-03 0.6627  1.0000 1.355E-22 2.541E+03
1.090E-03 0.6615  1.0000 1.367E-22 2.572E+03
1.096E-03 0.6602  1.0000 1.378E-22 2.604E+03
1.103E-03 0.6585  1.0000 1.388E-22 2.636E+03
1.109E-03 0.6572  1.0000 1.399E-22 2.668E+03
1.116E-03 0.6559  1.0000 1.411E-22 2.700E+03
1.122E-03 0.6546  1.0000 1.422E-22 2.732E+03
1.128E-03 0.6527  1.0000 1.431E-22 2.765E+03
1.135E-03 0.6513  1.0000 1.443E-22 2.799E+03
1.142E-03 0.6499  1.0000 1.455E-22 2.833E+03
1.148E-03 0.6480  1.0000 1.464E-22 2.867E+03
1.155E-03 0.6465  1.0000 1.476E-22 2.901E+03
1.161E-03 0.6451  1.0000 1.488E-22 2.936E+03
1.168E-03 0.6437  1.0000 1.499E-22 2.971E+03
1.175E-03 0.6416  1.0000 1.508E-22 3.006E+03
1.182E-03 0.6402  1.0000 1.520E-22 3.041E+03
1.189E-03 0.6388  1.0000 1.531E-22 3.076E+03
1.195E-03 0.6366  1.0000 1.540E-22 3.111E+03
1.202E-03 0.6352  1.0000 1.551E-22 3.146E+03
1.209E-03 0.6338  1.0000 1.562E-22 3.181E+03
1.216E-03 0.6323  1.0000 1.573E-22 3.216E+03
1.223E-03 0.6302  1.0000 1.581E-22 3.251E+03
1.230E-03 0.6287  1.0000 1.592E-22 3.286E+03
1.237E-03 0.6273  1.0000 1.603E-22 3.321E+03
1.245E-03 0.6250  1.0000 1.610E-22 3.358E+03
1.252E-03 0.6234  1.0000 1.621E-22 3.395E+03
1.259E-03 0.6218  1.0000 1.633E-22 3.433E+03
1.266E-03 0.6202  1.0000 1.644E-22 3.471E+03
1.274E-03 0.6177  1.0000 1.651E-22 3.509E+03
1.281E-03 0.6161  1.0000 1.662E-22 3.547E+03
1.288E-03 0.6145  1.0000 1.672E-22 3.585E+03
1.296E-03 0.6120  1.0000 1.679E-22 3.623E+03
1.303E-03 0.6104  1.0000 1.690E-22 3.661E+03
1.311E-03 0.6088  1.0000 1.701E-22 3.700E+03
1.318E-03 0.6062  1.0000 1.707E-22 3.739E+03
1.326E-03 0.6045  1.0000 1.718E-22 3.778E+03
1.334E-03 0.6028  1.0000 1.729E-22 3.818E+03
1.341E-03 0.6010  1.0000 1.739E-22 3.858E+03
1.349E-03 0.5982  1.0000 1.745E-22 3.898E+03
1.357E-03 0.5963  1.0000 1.754E-22 3.938E+03
1.365E-03 0.5945  1.0000 1.764E-22 3.979E+03
1.372E-03 0.5915  1.0000 1.769E-22 4.019E+03
1.380E-03 0.5895  1.0000 1.778E-22 4.060E+03
1.388E-03 0.5873  1.0000 1.787E-22 4.101E+03
1.396E-03 0.5849  1.0000 1.795E-22 4.143E+03
1.404E-03 0.5815  1.0000 1.798E-22 4.184E+03
1.413E-03 0.5791  1.0000 1.805E-22 4.226E+03
1.421E-03 0.5766  1.0000 1.813E-22 4.268E+03
1.429E-03 0.5729  1.0000 1.815E-22 4.310E+03
1.437E-03 0.5704  1.0000 1.821E-22 4.351E+03
1.445E-03 0.5647  1.0000 1.815E-22 4.394E+03
1.454E-03 0.5781  1.0000 1.805E-22 4.236E+03
1.462E-03 0.5763  1.0000 1.816E-22 4.278E+03
1.471E-03 0.5754  1.0000 1.830E-22 4.321E+03
1.479E-03 0.5743  0.9999 1.844E-22 4.364E+03
1.488E-03 0.5720  0.9999 1.852E-22 4.407E+03
1.496E-03 0.5706  0.9999 1.864E-22 4.450E+03
1.505E-03 0.5690  0.9999 1.875E-22 4.493E+03
1.514E-03 0.5672  0.9999 1.885E-22 4.537E+03
1.522E-03 0.5642  0.9999 1.890E-22 4.581E+03
1.531E-03 0.5622  0.9999 1.900E-22 4.625E+03
1.540E-03 0.5601  0.9999 1.908E-22 4.669E+03
1.549E-03 0.5568  0.9999 1.912E-22 4.713E+03
1.558E-03 0.5544  0.9999 1.920E-22 4.758E+03
1.567E-03 0.5520  0.9999 1.928E-22 4.803E+03
1.576E-03 0.5495  0.9999 1.935E-22 4.847E+03
1.585E-03 0.5458  0.9999 1.937E-22 4.892E+03
1.594E-03 0.5430  0.9999 1.943E-22 4.937E+03
1.603E-03 0.5402  0.9999 1.949E-22 4.982E+03
1.613E-03 0.5362  0.9999 1.949E-22 5.027E+03
1.622E-03 0.5332  0.9999 1.954E-22 5.072E+03
1.631E-03 0.5301  0.9999 1.958E-22 5.117E+03
1.641E-03 0.5259  0.9999 1.958E-22 5.162E+03
1.650E-03 0.5227  0.9999 1.961E-22 5.206E+03
1.660E-03 0.5185  0.9999 1.961E-22 5.252E+03
1.669E-03 0.5137  0.9999 1.959E-22 5.297E+03
1.679E-03 0.5069  0.9999 1.949E-22 5.343E+03
1.688E-03 0.4990  0.9999 1.934E-22 5.389E+03
1.698E-03 0.4893  0.9999 1.914E-22 5.435E+03
1.708E-03 0.4641  0.9999 1.839E-22 5.481E+03
1.718E-03 0.5515  0.9999 1.571E-22 3.918E+03
1.728E-03 0.5674  0.9999 1.646E-22 3.959E+03
1.738E-03 0.5754  0.9999 1.694E-22 4.001E+03
1.748E-03 0.5816  0.9999 1.738E-22 4.043E+03
1.758E-03 0.5873  0.9999 1.780E-22 4.085E+03
1.768E-03 0.5920  0.9999 1.820E-22 4.128E+03
1.778E-03 0.5938  0.9999 1.846E-22 4.170E+03
1.789E-03 0.5946  0.9999 1.868E-22 4.211E+03
1.799E-03 0.5952  0.9999 1.890E-22 4.254E+03
1.809E-03 0.5955  0.9999 1.910E-22 4.297E+03
1.820E-03 0.5956  0.9999 1.930E-22 4.341E+03
1.830E-03 0.5956  0.9999 1.950E-22 4.385E+03
1.841E-03 0.5954  0.9999 1.969E-22 4.430E+03
1.851E-03 0.5951  0.9999 1.987E-22 4.475E+03
1.862E-03 0.5945  0.9999 2.005E-22 4.521E+03
1.873E-03 0.5937  0.9999 2.021E-22 4.567E+03
1.884E-03 0.5929  0.9999 2.038E-22 4.613E+03
1.895E-03 0.5921  0.9999 2.054E-22 4.660E+03
1.905E-03 0.5909  0.9999 2.069E-22 4.706E+03
1.916E-03 0.5903  0.9999 2.085E-22 4.752E+03
1.928E-03 0.5898  0.9999 2.103E-22 4.797E+03
1.939E-03 0.5890  0.9999 2.119E-22 4.843E+03
1.950E-03 0.5879  0.9999 2.134E-22 4.890E+03
1.961E-03 0.5867  0.9999 2.148E-22 4.937E+03
1.972E-03 0.5856  0.9999 2.163E-22 4.985E+03
1.984E-03 0.5840  0.9999 2.176E-22 5.032E+03
1.995E-03 0.5825  0.9999 2.188E-22 5.080E+03
2.007E-03 0.5810  0.9999 2.201E-22 5.128E+03
2.018E-03 0.5790  0.9999 2.211E-22 5.176E+03
2.030E-03 0.5770  0.9999 2.221E-22 5.225E+03
2.042E-03 0.5750  0.9999 2.231E-22 5.273E+03
2.054E-03 0.5730  0.9999 2.241E-22 5.322E+03
2.065E-03 0.5707  0.9999 2.249E-22 5.370E+03
2.077E-03 0.5680  0.9999 2.256E-22 5.419E+03
2.089E-03 0.5654  0.9999 2.263E-22 5.469E+03
2.101E-03 0.5625  0.9999 2.268E-22 5.519E+03
2.113E-03 0.5593  0.9999 2.272E-22 5.569E+03
